id,output,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
100346,0,17.964,44.97,15.228,31.167,44.45,11.429,16.301,48.012,37.612,97.696,135.786,91.989,9.819,49.551,50.413,1.729,1.497,18.233,1.332,2.726,67.547,80.468,73.571,37.622,28.237,1783589459,0.785,-1.4,0.778,-1.389
100347,0,-19.309,-19.573,10.558,31.007,46.799,6.165,9.305,56.563,18.653,225.165,252.601,48.001,101.725,40.043,300.875,1.564,1.157,43.389,1.712,5.029,39.749,115.267,36.814,24.278,14.176,1788082928,2.071,1.288,2.035,1.266
100348,0,71.412,-32.082,1.748,10.286,16.419,1.596,2.547,13.539,37.362,49.64,96.585,394.68,158.156,15.317,179.245,3.345,0.583,67.952,1.095,6.445,44.586,15.104,12.112,10.053,9.177,1217268947,12.086,10.995,8.778,7.985
100349,0,5.828,-7.711,0.056,0.328,25.615,0.045,3.542,25.913,26.303,81.449,107.818,461.311,32.786,16.832,196.116,4.495,2.906,73.951,1.244,7.231,31.525,1.464,1.364,1.129,0.908,579197693,11.452,7.504,8.993,5.892
100350,0,31.929,14.998,2.286,10.253,18.101,2.406,4.248,26.604,37.568,52.115,79.508,264.881,81.004,22.427,185.191,2.941,2.881,55.702,0.95,4.26,38.272,-20.706,-16.563,-12.87,-13.547,2529095453,6.566,6.232,5.926,5.624
100351,0,144.404,25.283,0.695,4.081,33.673,0.602,4.969,16.751,47.497,233.098,251.056,284,393,12.87,1678.571,3.012,1.656,57.528,1.154,6.775,44.869,-181.675,-72.746,-60.347,-52.259,315386640,12.081,11.864,15.413,15.137
100352,0,29.518,48.754,1.092,6.535,13.943,0.965,2.06,9.638,39.705,57.348,68.45,528.27,16.033,15.52,289.156,1.352,0.965,33.071,1.131,6.766,38.251,-14.453,-13.998,-11.657,-10.302,616626450,7.89,4.39,6.917,3.849
100353,0,18.643,39.249,6.63,29.335,55.654,5.337,10.127,40.886,41.676,73.701,84.757,142.652,181.242,23.59,276.744,2.519,2.519,62.429,1.242,5.495,46.32,34.338,15.732,12.176,9.802,1670794299,2.858,2.562,2.997,2.687
100354,0,39.043,60.661,4.654,21.442,17.635,2.531,2.081,21.836,24.65,84.16,86.906,343.115,36.231,20.861,99.39,1.206,1.182,24.376,1.838,8.47,44.932,18.9,16.333,12.788,6.955,1041962230,1.891,1,1.5,0.793
100355,0,43.311,-27.932,3.429,9.986,18.396,2.483,4.575,23.89,40.37,106.83,158.743,185.316,31.645,31.549,870.689,2.875,2.418,52.635,1.38,4.021,62.274,-29.629,-21.993,-14.44,-10.457,617668952,7.488,5.181,6.59,4.56
100356,0,12.359,21.077,6.865,44.66,93.203,3.01,6.282,18.25,45.568,98.188,111.956,438.095,38.095,17.355,776.923,2.617,2.094,47.382,2.28,14.834,106.865,4.536,4.232,3.582,1.57,348142166,2.177,1.316,2.293,1.386
100357,0,0.491,11.232,4.884,22.453,41.218,3.938,7.229,43.559,24.791,61.999,63.413,267.465,16.015,26.076,232.017,1.772,1.744,30.746,1.24,5.701,25.994,-2.736,-2.586,-2.023,-1.631,881333808,2.54,1.875,2.733,2.017
100358,0,7.228,-8.45,16.74,24.133,32.092,9.279,12.339,51.652,23.573,339.879,345.317,37.915,2.863,71.033,770.114,0.987,0.444,11.798,1.804,2.6,43.633,32.659,30.523,9.349,5.182,477590000,0.525,-0.927,0.505,-0.891
100359,0,3.005,-8.997,6.112,21.052,26.973,3.295,4.222,27.702,37.662,80.874,92.076,221.818,6.666,30.442,163.636,1.132,0.926,25.645,1.854,6.388,75.071,28.005,26.648,18.911,10.195,365699029,1.674,1.192,1.635,1.164
100360,0,25.134,40.144,8.797,27.953,43.011,4.294,6.607,51.833,12.555,180.54,181.232,101.475,110.892,32.013,88.175,1.205,0.676,39.55,2.048,6.509,28.611,26.656,13.242,9.074,4.429,1020419160,3.025,2.228,2.925,2.154
100361,0,-25.095,-13.045,0.507,1.219,5.081,0.323,1.349,8.992,65.218,140.38,150.476,106.06,13.333,45.58,203.688,1.457,1.241,15.653,1.567,3.766,60.152,23.35,16.666,9.729,6.206,1208500000,1.349,0.523,1.25,0.485
